occ load(%) duration processor
2 58 16 15
7 91 46 18
11 83 77 9
19 28 92 7
32 8 43 9
33 59 80 6
40 63 21 28
50 80 20 7
56 89 44 26
60 19 12 5
66 30 48 11
75 74 76 10
83 33 59 14
87 75 25 8
88 88 105 19
90 68 89 4
96 69 49 4
105 34 102 20
110 64 106 6
123 67 37 21
132 19 107 1
142 65 47 11
144 44 101 24
145 7 34 10
157 28 15 20
159 27 63 4
173 36 24 7
186 49 98 11
198 74 87 23
198 21 20 26
204 57 54 12
205 50 48 14
213 12 57 6
219 49 90 7
230 66 36 11
237 60 78 23
242 32 57 15
248 8 78 2
248 55 29 9
254 87 64 13
267 37 33 11
280 48 10 27
283 67 107 26
286 72 41 14
297 50 58 29
308 92 23 3
311 19 90 5
319 41 16 10
330 84 80 27
341 84 104 13
345 88 27 12
358 18 61 10
366 64 64 3
374 26 47 2
379 74 108 23
393 12 24 19
394 9 78 20
400 25 42 24
410 64 29 10
422 44 29 25
431 85 59 6
441 37 89 9
442 64 89 5
448 73 100 19
452 28 37 8
458 75 51 0
461 29 34 7
471 43 66 17
471 52 34 16
471 17 14 6
477 46 34 20
478 11 88 5
487 47 12 22
500 63 106 28
511 86 18 22
517 37 75 4
517 82 12 10
526 79 12 28
536 7 21 14
540 70 18 19
544 10 35 12
544 20 46 12
554 35 108 15
559 36 11 3
573 15 104 23
585 69 29 21
591 40 105 29
594 16 94 28
599 84 84 11
603 50 15 8
611 19 100 14
621 94 80 15
629 62 76 10
643 78 23 0
644 9 58 4
644 14 103 8
648 63 66 22
650 49 25 4
651 21 103 18
658 39 57 8
661 37 55 13
674 83 35 13
686 49 17 7
687 6 49 17
691 46 33 15
704 81 51 29
707 8 106 12
707 26 39 3
709 53 50 11
711 59 100 11
716 7 74 19
729 10 10 16
737 67 17 11
751 44 41 5
762 18 76 5
770 36 10 15
783 66 106 6
785 23 68 7
798 67 74 3
804 76 28 24
804 9 92 5
818 89 65 24
829 78 72 5
837 27 44 4
851 74 77 10
864 9 65 26
868 63 52 2
876 91 14 15
889 86 65 7
899 68 71 3
908 62 92 7
914 19 24 13
926 71 24 27
933 72 64 3
934 60 86 13
938 55 83 24
941 88 86 3
955 85 83 8
958 20 41 17
963 20 87 10
969 20 45 26
972 36 93 23
981 68 81 13
985 15 15 27
996 82 87 16
1002 77 16 13
1008 79 25 20
1018 65 102 12
1021 28 21 27
1021 79 61 19
1033 42 74 21
1046 30 40 9
1050 63 43 23
1057 54 11 29
1065 6 70 23
1070 93 61 4
1074 7 94 26
1083 82 10 29
1095 86 65 27
1107 58 44 6
1113 73 61 29
1118 81 107 27
1126 53 64 7
1132 39 104 16
1132 75 64 12
1141 75 98 4
1142 54 75 4
1155 55 107 4
1168 75 91 26
1175 25 30 24
1189 27 30 16
1193 22 66 29
1204 81 17 19
1211 81 98 10
1219 64 24 4
1224 91 61 29
1237 26 67 27
1243 32 107 21
1249 91 14 2
1258 30 46 5
1267 48 72 18
1277 71 27 29
1284 55 41 4
1298 40 75 5
1304 67 64 11
1305 48 109 12
1310 55 10 18
1310 67 10 19
1312 18 60 6
1315 31 100 25
1315 79 94 16
1326 13 62 4
1335 12 92 25
1345 75 15 26
1358 45 99 24
1368 59 105 3
1372 86 22 3
1378 47 108 26
1382 81 47 13
1390 92 19 28
1397 34 104 0
1406 90 102 6
1407 21 21 28
1409 51 14 13
1417 22 32 15
1417 64 20 0
1429 53 37 18
1436 90 81 8
1441 15 34 16
1445 80 65 13
1447 35 67 29
1447 60 22 22
1457 72 52 6
1463 13 14 7
1475 45 88 16
1489 48 108 19
1497 6 64 12
1509 9 53 27
1514 67 98 28
1523 57 15 17
1525 80 102 27
1525 65 28 4
1528 90 37 1
1535 38 92 26
1539 81 104 11
1546 71 37 23
1559 62 90 9
1568 39 103 17
1574 67 63 0
1578 85 38 10
1587 80 91 24
1592 80 98 20
1599 24 12 16
1610 78 99 21
1622 75 103 26
1623 54 66 10
1636 28 103 8
1644 15 63 16
1655 8 108 8
1665 77 15 20
1675 40 28 18
1681 26 52 27
1694 87 71 25
1700 55 26 10
1710 18 25 28
1713 11 91 18
1722 66 108 26
1736 49 45 20
1749 35 35 24
1761 65 74 14
1775 10 28 29
1780 53 44 14
1794 76 41 8
1802 57 35 26
1814 38 95 14
1819 20 14 27
1825 16 51 20
1835 36 79 23
1848 5 45 11
1848 21 41 12
1856 6 75 25
1859 57 109 29
1862 64 25 28
1873 27 102 28
1887 47 39 14
1900 22 108 7
1912 77 102 27
1917 89 47 14
1922 63 89 22
1927 32 30 13
1931 85 78 3
1943 55 106 14
1953 57 43 12
1963 20 40 13
1972 78 81 19
1972 43 73 25
1983 52 27 10
1997 82 52 3
2009 21 67 28
2009 91 24 20
2017 25 55 24
2019 88 37 7
2025 73 87 26
2028 20 105 21
2034 69 97 27
2036 84 13 11
2045 69 72 29
2057 11 61 14
2060 15 97 14
2067 61 108 14
2077 17 87 22
2090 44 29 29
2091 91 68 2
2095 60 14 23
2104 27 94 28
2115 40 71 10
2118 46 40 17
2124 15 100 12
2128 86 86 1
2129 49 77 27
2131 39 94 21
2138 14 27 0
2138 85 37 20
2141 56 106 7
2143 77 36 13
2156 28 14 4
2156 37 14 6
2156 7 97 13
2169 47 66 1
2175 64 17 28
2189 18 12 10
2192 92 11 23
2198 14 83 1
2210 53 46 15
2211 29 48 21
2218 75 54 9
2221 28 86 1
2230 67 101 4
2235 21 74 22
2241 48 26 22
2244 15 13 7
2249 94 51 24
2253 32 56 13
2262 54 49 19
2273 81 70 26
2273 59 22 8
2286 34 70 5
2294 55 24 19
2296 88 105 16
2299 27 35 14
2299 65 64 20
2312 30 66 28
2312 6 68 0
2317 15 53 9
2319 83 31 2
2333 54 70 26
2340 76 19 8
2346 91 73 2
2355 5 54 28
2357 58 47 27
2370 31 18 2
2373 69 28 9
2382 12 67 13
2387 25 104 19
2395 30 64 16
2408 38 43 20
2413 52 78 14
2417 40 84 0
2423 13 20 10
2430 39 90 1
2444 50 108 1
2444 61 52 20
2457 54 81 27
2457 26 100 6
2457 45 103 18
2469 81 46 24
2479 25 34 8
2485 63 75 18
2489 43 53 9
2489 11 62 22
2492 90 58 29
2503 85 61 8
2505 60 83 20
2517 51 21 1
2521 56 11 14
2524 73 12 6
2533 69 57 29
2546 49 58 20
2556 85 66 16
2562 63 23 7
2573 42 49 29
2574 78 94 13
2579 9 35 18
2590 28 51 11
2593 76 33 14
2598 92 31 16
2611 84 26 19
2615 43 104 12
2623 84 31 4
2637 70 37 8
2651 82 105 29
2661 61 18 7
2666 91 86 7
2673 56 44 3
2674 87 89 3
2679 55 106 14
2682 21 98 17
2687 63 37 22
2691 86 32 28
2700 38 91 11
2709 83 70 11
